"profession";"duration";"wage1";"wage2";"wage3";"cola";"hours";"pension";"stby_pay";"shift_diff";"educ_allow";"holidays";"vacation";"lngtrm_disabil";"dntl_ins";"breavement";"Empl.hplan";"consent"
"1";"2";"2.47";;"2.46";"";"41";"none";"2";"4";"";"12";"below average";"";"";"";"half";"??"
"2";"1";"1.99";"3.04";;"tc";"36";"none";;"4";"no";"13";"below average";"";"";"";"half";"good"
"3";"1";"2.97";;"5.02";"tc";"40";"";;"25";"maybe";"10";"below average";"";"half";"";"";"??"
"4";"1";"-4.51";"3.98";;"";"39";"";;;"";"9";"average";"";"";"yes";"half";"good"
"5";"2";"-4.51";"3.96";;"tc";"38";"none";;;"";;"average";"";"half";"yes";"none";"bad"
"6";"2";"4.32";"4.77";"-5.01";"tc";"40";"";;"4";"yes";"11";"";"";"full";"yes";"none";"bad"
"7";"3";"4.47";"4.54";;"none";"39";"none";;"3";"yes";"14";"below average";"";"none";"";"half";"bad"
"8";"2";"4.51";;;"none";"61";"";;;"no";"11";"below average";"";"full";"no";"";"good"
"9";"2";"2.13";"1.98";;"";"40";"";;"3";"yes";"14";"below average";"";"none";"";"";"good"
"10";"2";"2";;;"none";"41";"";;;"no";"9";"below average";"yes";"";"yes";".5";"bad"
"11";"3";"2.79";"3.99";;"";"28";"empl_contr";"-12";;"yes";"10";"";"";"";"yes";"none";"good"
"12";"3";"4.52";"4.5";;"none";"39";"self payed";"-1";;"";"4";"generous";"";"";"";"half";"good"
"13";"2";"-4.5";"4.01";"4.59";"";"39";"";;;"";"11";"average";"yes";"full";"";"";"??"
"14";"1";"1.96";"4.01";;"tcf";"39";"none";;;"no";"14";"average";"";"";"";"";"bad"
"15";"1";"4.04";"4.01";;"";"41";"none";"13";;"maybe";"12";"below average";"no";"none";"yes";"full";"good"
"501";"3";"2.82";"5.03";;"";"41";"";;;"maybe";"10";"generous";"yes";"half";"yes";"";"bad"
"17";"3";"3.98";"3.97";;"tcf";"38";"empl_contr";;;"";"9";"generous";"";"full";"";"none";"bad"
"18";"3";"2.5";"3.03";;"";"35";"ret_allw";"-1";"3";"no";"9";"generous";"";"half";"";"";"good"
"19";"3";"5.67";"1.98";;"none";"9";"";;;"yes";"12";"generous";"";"";"";"";"good"
"20";"2";"2";"2.52";;"none";"11";"empl_contr";;;"";"9";"generous";"";"half";"yes";"full";"good"
"21";"1";"4.01";"3.97";"2.09";"";"39";"empl_contr";"13";"5";"";"10";"below average";"yes";"";"";"full";"??"
"22";"2";"-4.49";"4.03";"5";"none";"62";"";;;"";"11";"generous";"";"";"";"full";"bad"
"23";"2";"6.93";"4.4";;"";"40";"ret_allw";;;"yes";"12";"average";"";"full";"";"";"??"
"24";"1";"4.53";"2.52";;"";"36";"ret_allw";;;"";"9";"below average";"";"half";"yes";"full";"bad"
"25";"1";"4.51";;;"none";"41";"empl_contr";;"4";"";"15";"average";"";"";"maybe";"";"good"
"26";"2";"2.81";;"1.97";"tc";"41";"";;"6";"yes";"9";"below average";"yes";"";"yes";"";"bad"
"27";"2";"2";"3.01";;"none";"35";"";;;"";"11";"below average";"yes";"none";"";"full";"bad"
"28";"2";"3.02";;;"";"37";"none";"-1";;"no";"11";"generous";"";"half";"yes";"full";"good"
"29";"2";"4";"4.51";"2.01";"";"39";"empl_contr";;"5";"yes";"11";"generous";"";"";"";"full";"bad"
"30";"2";"2.49";"4.04";;"";"40";"empl_contr";"12";"5";"no";"10";"average";"";"";"maybe";"none";"good"
"31";"3";"2.07";"2.03";;"none";"36";"";;"3";"no";"12";"";"";"";"yes";"full";"good"
"32";"2";"2.81";"3.01";"4.99";"";"41";"";;;"no";"10";"average";"";"half";"";"";"good"
"33";"1";"3.47";"4.01";;"";"36";"";;;"";"9";"generous";"yes";"";"";"full";"good"
"34";"3";"4.52";"4.02";;"tc";"36";"empl_contr";"2";"3";"maybe";"4";"below average";"";"half";"";"full";"good"
"35";"2";"4.02";"4.47";;"";"63";"";"-1";;"";"13";"average";"";"half";"";"";"good"
"36";"2";"6.93";"4.51";;"";"37";"";;;"";"13";"";"yes";"half";"";"full";"bad"
"37";"1";"2.81";"3.99";"5.03";"tc";"40";"";"2";"4";"no";"3";"";"no";"none";"";"full";"good"
"38";"3";"2.98";"4.83";"2.07";"tcf";"41";"";;;"yes";"5";"generous";"";"half";"yes";"";"bad"
"39";"3";"-4.48";"3.98";;"";"61";"";;"4";"no";"12";"average";"yes";"";"";"full";"bad"
"40";"3";"-4.51";;;"tc";"35";"self payed";;;"no";"9";"below average";"yes";"full";"";"full";"good"
"41";"1";"-4.48";"4.38";;"tc";;"none";;;"";"10";"below average";"yes";"";"yes";"full";"good"
"42";"3";"2.01";;"1.98";"tcf";"36";"ret_allw";;;"no";"11";"average";"";"";"";"full";"??"
"43";"2";"3.71";"37.01";;"none";"34";"";;;"no";"10";"below average";"yes";"";"";"half";"good"
"44";"2";"3.46";"2.51";;"";"38";"";;"2";"no";"11";"generous";"yes";"full";"";".5";"bad"
"45";"3";;"4.81";;"";"40";"ret_allw";;"5";"";;"generous";"";"half";"";"none";"good"
"46";"2";"4.33";"4";;"";"40";"self payed";;;"";"12";"generous";"no";"half";"yes";"";"bad"
"47";"3";"1.99";;"-5.02";"none";"36";"none";;"3";"";"11";"below average";"no";"";"";"";"good"
"48";"3";"1.98";"2.04";;"none";"38";"empl_contr";;;"";"11";"generous";"";"half";"yes";"";"good"
"49";"3";"-5.02";"1.97";"1.97";"none";"39";"empl_contr";"2";;"yes";"12";"average";"";"";"";"";"??"
"50";"2";"3.98";"4.53";;"none";"37";"empl_contr";"2";"2";"no";"13";"generous";"yes";"none";"";"";"bad"
"51";"2";"4.46";"4.78";;"none";"40";"empl_contr";;;"yes";"10";"generous";"yes";"none";"no";"";"good"
"52";"1";"4.49";"5";;"tc";"40";"none";;"4";"no";"12";"below average";"";"";"yes";"";"good"
"53";"2";"4.02";"4.03";"5.03";"";"37";"";;"5";"no";"12";"average";"";"";"";"";"??"
"54";"2";"3.49";"4.51";"2.12";"none";"41";"";;;"maybe";"11";"below average";"yes";"none";"yes";"";"good"
"55";"2";"4.3";"2.51";;"tc";"40";"";;;"";"11";"below average";"";"";"yes";"";"bad"
"56";"3";"-4.49";"3.98";"5.07";"";"38";"";;"3";"";"12";"generous";"";"full";"";".5";"good"
"57";"1";"2.81";"36.97";"4.62";"tcf";"36";"";;"0";"no";"10";"average";"";"half";"";"half";"good"
"58";"2";"-5";"5.79";"4.59";"";"37";"self payed";;;"no";"10";"";"";"none";"";"";"good"
"59";"3";"4.52";"3.97";;"tc";"9";"";"2";;"no";"13";"below average";"yes";"half";"no";".5";"good"
"60";"2";"3.5";"7.04";"4.64";"tc";"35";"";;;"maybe";"11";"below average";"";"none";"yes";"";"??"
"61";"3";"2";"4.02";;"tcf";"41";"self payed";;;"no";"13";"average";"";"full";"yes";"";"good"
"62";"2";"5.71";"4.01";"4.97";"";"36";"";"13";;"no";"14";"generous";"";"full";"yes";"full";"good"
"63";"3";"3.53";;;"none";"40";"";"-1";;"";"11";"generous";"";"none";"";"half";"bad"
"64";"3";"4";"5.01";;"";"40";"";"13";"4";"maybe";"9";"average";"yes";"full";"";"full";"bad"
"65";"1";;"4.41";;"";"39";"self payed";;"4";"yes";"10";"generous";"";"";"";"full";"good"
"66";"3";"4.98";"4.97";"4.97";"none";;"";;;"";"12";"below average";"";"half";"no";"full";"good"
"67";"2";"-4.97";"2.54";"5.12";"tcf";"39";"empl_contr";"12";"4";"yes";"10";"average";"yes";"half";"maybe";"full";"good"
"68";"3";"3.04";"3.98";"2.32";"tcf";"39";"";;;"";"10";"average";"yes";"";"no";"";"good"
"69";"1";"-4.48";"2.49";;"";"37";"";;;"no";"9";"average";"";"half";"yes";"full";"good"
"70";"1";"3";"4.51";"4.56";"";"38";"empl_contr";"4";"2";"no";"12";"below average";"";"full";"";"half";"bad"
"71";"2";"-6.37";"5.02";;"none";"36";"";;"3";"yes";"5";"below average";"yes";"none";"";"full";"good"
"72";"1";"2.08";"2.02";;"";"36";"";;;"";"11";"average";"yes";"";"yes";"full";"good"
"73";"3";"1.99";"24.98";;"";"36";"ret_allw";"-1";"1";"";"11";"generous";"";"full";"yes";".5";"bad"
"74";"2";"2.13";;;"tcf";"40";"empl_contr";;"4";"";"13";"generous";"yes";"";"yes";"half";"good"
"75";"2";"1.96";;;"";"38";"";;"4";"no";"11";"generous";"";"";"";"";"good"
"76";"1";"-4.98";"4.47";;"";"38";"";;;"yes";"12";"generous";"yes";"";"yes";"";"good"
"77";"3";"2.54";"2.96";;"";"40";"";"-1";"3";"no";"13";"";"";"";"yes";"full";"bad"
"78";"3";"5.72";;;"tc";"39";"ret_allw";;;"yes";"11";"generous";"yes";"";"yes";"half";"good"
"79";"3";"-4.48";"3.97";;"tc";;"";"12";"1";"";"10";"average";"";"half";"";"full";"??"
"80";"2";"1.98";"4.98";;"";"37";"";;"3";"no";"11";"average";"yes";"";"";"full";"good"
"81";"2";"-5";"4.81";;"";"38";"";"-1";"0";"";"16";"below average";"";"none";"yes";"half";"good"
"82";"1";;"1.97";"2.01";"tc";;"none";"29";"0";"yes";"11";"generous";"";"half";"yes";"";"bad"
"83";"1";"6.88";;;"";"9";"empl_contr";;;"no";"10";"below average";"yes";"full";"";"full";"good"
"84";"2";"4.52";;;"tcf";"37";"empl_contr";;"5";"";"11";"";"";"half";"yes";"";"bad"
"85";"3";"2.04";"36.99";;"";"40";"none";;;"yes";"11";"generous";"no";"none";"";"half";"bad"
"86";"2";"1.97";"4.39";;"tc";;"empl_contr";;"3";"";"10";"below average";"";"";"yes";"none";"bad"
"87";"3";"6.93";"2.52";;"";"26";"";;"3";"";"13";"average";"";"none";"";".5";"bad"
"88";"2";"5.74";"36.98";"5";"";"40";"";;"25";"maybe";"9";"generous";"no";"half";"";"half";"good"
"89";"2";"3.97";;"5.01";"none";"37";"";"4";"3";"yes";"13";"below average";"";"full";"yes";"";"good"
"90";"3";"1.98";"4.53";;"none";"39";"empl_contr";;"4";"maybe";"12";"average";"yes";"";"yes";"";"??"
"91";"2";"2.51";"36.96";;"none";"38";"";;"3";"no";"10";"below average";"yes";"half";"yes";"none";"good"
"92";"3";"4.02";"3.98";;"none";"40";"none";"13";;"";"9";"average";"yes";"half";"";"none";"bad"
"93";"2";"2.54";"4";;"none";"35";"ret_allw";"29";;"yes";"12";"below average";"yes";"none";"yes";"";"bad"
"94";;"1.97";;;"none";"38";"";;;"no";"10";"average";"yes";"";"yes";"none";"good"
"95";"2";"4.03";;;"none";"34";"";;"10";"";"10";"below average";"yes";"half";"";"full";"good"
"96";"3";"4.98";"4";;"none";"39";"empl_contr";;"3";"no";"8";"below average";"yes";"half";"yes";"";"bad"
"97";"2";"4.52";"4";"4.99";"tcf";;"none";;"4";"no";"11";"generous";"";"half";"";"full";"good"
"98";"1";"2.02";"4.03";;"none";"40";"empl_contr";;;"yes";"13";"average";"";"half";"maybe";"full";"bad"
"99";"3";"3.98";"5.04";;"none";"36";"";;"3";"";"11";"generous";"";"full";"";"full";"good"
"100";"3";"3.02";"3";"4.6";"none";"39";"";;"4";"yes";"12";"below average";"yes";"none";"yes";"half";"good"
"101";"1";"1.98";"5.84";;"none";"39";"";;;"yes";"11";"below average";"";"full";"";"half";"good"
"102";"2";"3.98";"2.03";;"";"10";"";;;"yes";"12";"";"";"";"yes";"full";"good"
"103";"2";"4.47";"2.98";;"";"39";"empl_contr";;;"no";"10";"generous";"";"full";"";"full";"good"
"104";"1";"3.51";;;"";"37";"";;"5";"maybe";"12";"generous";"no";"full";"maybe";"";"good"
"105";"3";"2.53";;;"tc";"40";"";;"5";"";"10";"generous";"";"";"yes";"full";"good"
"106";"3";"2";;"5.04";"tcf";"10";"empl_contr";;"2";"";"11";"average";"no";"half";"";"";"good"
"107";"1";"2.13";"3.04";;"";"41";"ret_allw";;;"no";"11";"below average";"yes";"";"no";"full";"bad"
"108";"3";"2.84";"3.01";;"";"35";"none";;;"";"12";"below average";"yes";"none";"";"none";"??"
"109";"3";"6.93";"2.51";;"";"39";"ret_allw";;"4";"maybe";"11";"below average";"";"";"yes";"half";"bad"
"110";"3";"3.5";;;"";"40";"";;;"no";"10";"below average";"no";"none";"yes";"";"bad"
"111";"1";"3.01";"25.02";;"none";"36";"none";;"4";"no";"10";"average";"no";"full";"yes";"full";"good"
"112";"2";"4.03";"4.04";;"tcf";"41";"";;"0";"";"11";"below average";"no";"full";"yes";"full";"good"
"113";"2";"2.53";"7.02";"1.99";"tc";;"empl_contr";;"4";"";"11";"below average";"yes";"none";"";"half";"good"
"114";"3";"3.47";"2.98";;"none";"41";"";;;"no";"9";"average";"";"full";"yes";"";"good"
"115";"1";"4.34";"4.8";"5.04";"";;"none";;"5";"maybe";"10";"below average";"no";"";"no";"full";"good"
"116";"3";"4.03";"5.03";"2.52";"tc";"38";"";;;"no";"12";"average";"no";"half";"";"half";"good"
"117";"2";"4.48";;"-5.03";"tc";;"self payed";;"3";"yes";"10";"generous";"yes";"none";"";".5";"good"
"118";"3";"2.49";"3.99";;"";"41";"";;"5";"";"15";"average";"";"";"";"";"good"
"119";"1";"4.49";;;"none";"36";"";;"0";"yes";"10";"below average";"yes";"";"";"half";"good"
"120";"2";"3.7";;;"tc";"39";"ret_allw";;;"no";"11";"below average";"yes";"full";"";"";"good"
"121";"3";"3.69";"4.99";"4.58";"";"38";"";;;"";"4";"below average";"yes";"none";"";"full";"??"
"122";"2";"3.01";"4";"1.98";"";"40";"";;"6";"yes";"9";"generous";"yes";"half";"";"";"good"
"123";"3";"2.12";"37";;"";"35";"ret_allw";;;"";"5";"generous";"";"";"";"";"good"
"124";"3";"3.47";"4";;"";"39";"none";;;"no";"12";"generous";"";"";"yes";"full";"good"
"125";"3";"2.51";"4.04";;"none";"39";"";;"4";"maybe";"11";"generous";"";"";"yes";"half";"??"
"126";"2";"4.03";;;"";"38";"none";;"5";"maybe";"12";"average";"";"none";"yes";"";"good"
"127";"2";"2.79";;;"";"41";"empl_contr";"29";;"";"12";"average";"";"none";"yes";"full";"good"
"128";"3";"2.03";"3.99";"4.57";"tcf";"40";"none";;"10";"yes";"9";"below average";"";"none";"yes";"";"good"
"129";"3";"3.54";"3.99";;"";;"";"4";"25";"";"12";"average";"";"";"yes";"full";"good"
"130";"3";"3.49";;;"none";"41";"";"4";;"";"22";"generous";"no";"";"";"";"good"
"131";"2";"3.02";"7.03";"2.27";"";"39";"empl_contr";;;"";"11";"average";"yes";"half";"yes";"";"bad"
"132";"2";"1.97";"4.01";;"none";"41";"";"13";;"";"11";"generous";"";"";"no";"half";"good"
"133";"2";"5.7";"5.02";;"none";"39";"empl_contr";;;"yes";"12";"generous";"yes";"none";"yes";"";"good"
"134";"3";"2.53";"4.84";;"none";"35";"none";;"3";"";"9";"generous";"";"full";"";"full";"good"
"135";"2";"1.98";"5";;"";"40";"";;;"maybe";"10";"average";"";"";"";"none";"good"
"136";"2";"1.98";"2.48";;"";"37";"ret_allw";;"10";"no";"11";"average";"";"half";"maybe";".5";"good"
"137";"3";"1.99";"2.52";"2.3";"";"11";"";"12";"5";"no";"9";"average";"";"half";"";".5";"good"
"138";"2";"1.98";"5.02";;"tc";"40";"ret_allw";;"3";"no";"9";"average";"";"none";"";"";"good"
"139";"2";"2.81";"5.8";"4.99";"";"38";"";;"4";"";"13";"average";"";"full";"yes";"";"good"
"140";"3";"2.77";"4.03";;"none";"62";"none";"2";;"";"11";"generous";"";"none";"";"half";"good"
"141";"3";"2.77";"2.51";"5.02";"none";"62";"";;"5";"maybe";"10";"generous";"";"";"yes";".5";"bad"
"142";"2";"3";;;"tc";"39";"";;"2";"no";"10";"average";"";"";"no";"";"good"
"143";"3";"-4.52";"4.03";"2";"none";"39";"empl_contr";;"5";"yes";"13";"generous";"";"";"";"";"bad"
"144";"3";"3.47";"5.04";;"";"40";"";;;"yes";"9";"below average";"";"";"";"";"good"
"145";"2";"2.54";"4.51";;"tcf";"41";"self payed";;;"yes";"14";"generous";"yes";"";"yes";"half";"good"
"146";"2";"3.69";;;"";"38";"empl_contr";"4";"10";"maybe";"11";"average";"yes";"half";"yes";"";"bad"
"147";"3";"2.12";"7.04";"2.07";"none";"39";"empl_contr";"2";;"";"11";"generous";"yes";"full";"yes";"full";"good"
"148";"2";"4.3";"2.97";;"tcf";"36";"empl_contr";;"4";"";"10";"average";"yes";"";"";"";"good"
"149";"3";"3.73";"4.4";;"";"34";"";;"4";"";"10";"average";"";"full";"yes";"full";"good"
"150";"2";"5.98";"2.49";;"none";"40";"empl_contr";;;"";"9";"average";"yes";"";"";"full";"good"
"151";"2";;;;"none";"41";"";"13";"4";"yes";"10";"generous";"yes";"full";"yes";"half";"good"
"152";"2";"2.48";;;"tc";"38";"none";;"25";"no";"11";"below average";"yes";"half";"yes";"none";"bad"
"153";"2";"4";"4.38";"4.99";"none";"35";"";"2";;"";"11";"below average";"no";"half";"maybe";"";"good"
"154";"2";"3.5";"4.01";;"";"38";"";;"6";"";"12";"generous";"";"full";"yes";"half";"good"
"155";"1";"2.03";"3.99";"2.1";"";;"";;"2";"yes";"13";"below average";"";"";"no";"full";"bad"
"156";"2";"-4.47";;;"tcf";"35";"";;"5";"";"9";"below average";"";"none";"";"";"good"
"157";"1";"3.48";;"5.02";"";"37";"";"4";"3";"";"12";"below average";"";"half";"yes";"";"good"
"158";"1";"2.49";;;"";"38";"empl_contr";;;"";"8";"generous";"";"full";"";"full";"good"
"159";"2";"4.01";"2.53";"4.99";"none";;"empl_contr";;"4";"no";"10";"average";"";"half";"yes";"none";"good"
"160";"3";"-4.49";"6.98";;"tc";;"empl_contr";;;"no";;"generous";"yes";"";"";"half";"bad"
"161";"2";"2.01";"5.82";"1.99";"tc";"10";"";;"2";"";"15";"";"";"full";"yes";"";"??"
"162";"2";"3.48";"3.98";;"";"38";"";;;"yes";"9";"generous";"";"none";"yes";"";"bad"
"163";"2";"1.99";"4.49";;"none";"35";"";;;"yes";"12";"average";"yes";"none";"";"none";"bad"
"164";"3";"6.93";"4.43";"2.48";"";"36";"";;;"";"5";"generous";"";"half";"yes";"";"good"
"165";"1";"5.01";"4.42";;"none";"40";"";"-1";;"no";"10";"";"";"none";"yes";"full";"good"
"166";"1";"4.51";"3.97";;"none";"37";"ret_allw";;"3";"no";"11";"below average";"";"full";"no";"";"good"
"167";"3";"3.54";"2.49";;"none";"38";"";;;"no";"11";"below average";"yes";"";"yes";"half";"bad"
"168";"2";"4.5";"7";;"";"35";"";;"6";"yes";"12";"below average";"yes";"half";"";"full";"good"
"169";"2";"3.7";"24.96";;"tcf";"41";"empl_contr";;"4";"";"9";"average";"";"";"no";"none";"bad"
"170";"2";"2.11";"3.97";"5.07";"tc";"37";"";"-1";;"no";"14";"below average";"";"full";"yes";"half";"bad"
"171";"3";"4.49";"4";;"none";"62";"";;"0";"";"11";"";"yes";"";"";"full";"good"
"172";"1";"4.97";"3.98";;"none";"61";"self payed";;;"yes";"11";"below average";"";"";"";"";"good"
"173";"1";"-4.51";"5.79";;"";"36";"";;"3";"";"12";"below average";"no";"";"";"";"bad"
"174";"3";"2.53";;;"tcf";;"none";;;"";"10";"generous";"";"none";"";"none";"good"
"175";"2";"4.47";"4.38";"2.49";"";"37";"";;"3";"";"10";"below average";"yes";"none";"";"full";"bad"
"176";"1";"6.9";"2.97";;"tc";"40";"empl_contr";"29";;"yes";"15";"generous";"";"";"";"";"good"
"177";"2";"2.97";"4.47";"4.99";"";"35";"none";;;"";"12";"average";"";"none";"";"half";"good"
"178";"2";;"4.52";"-4.99";"none";"36";"empl_contr";"2";;"";"8";"";"";"";"maybe";"none";"bad"
"179";"3";"1.97";"2.47";"-5.03";"tcf";"40";"";"4";"3";"yes";"12";"below average";"";"full";"";"";"bad"
"180";;"3.99";"3.03";;"";"36";"none";;"3";"";"12";"average";"";"half";"yes";"none";"bad"
"181";"2";"3.48";"2.49";;"";"41";"none";"12";"4";"";"11";"average";"no";"";"";"none";"good"
"182";"2";"2.97";;;"tcf";"35";"ret_allw";;"5";"";"12";"";"yes";"half";"yes";"full";"good"
"183";"2";"4.48";"4.52";;"none";"9";"";;"4";"no";"10";"below average";"yes";"";"";"full";"good"
"184";"2";"3.04";"4.51";;"";"34";"";;"3";"maybe";"12";"";"";"";"";"half";"good"
"185";"2";"4.29";"4.47";"2.09";"";"35";"none";"-12";"10";"yes";"3";"generous";"";"half";"";"full";"good"
"186";"1";"3.5";"3.04";;"none";"41";"none";"2";"3";"";"5";"generous";"";"";"";"";"good"
"187";"3";"-5.02";"2.99";"-5.03";"none";"37";"self payed";;"6";"yes";"4";"generous";"";"half";"";"none";"??"
"188";"3";"4.99";"2.52";;"tcf";"39";"empl_contr";;;"no";"10";"below average";"";"";"";"";"good"
"591";"3";"2.79";"37";;"";"39";"none";;"4";"";"10";"below average";"";"full";"yes";"none";"good"
"190";"2";"3.48";"2.47";;"tcf";"10";"empl_contr";;;"";"12";"";"yes";"half";"";"full";"bad"
"191";"2";"-4.51";"4.01";"4.62";"";"63";"ret_allw";"29";"4";"";"14";"generous";"";"";"yes";"half";"good"
"192";"2";"2.02";"6.39";;"none";"39";"";"2";"3";"no";"13";"below average";"yes";"half";"";"";"good"
"193";"2";"2.97";"7.02";"4.98";"tc";"41";"";;"4";"yes";"12";"average";"";"none";"yes";"full";"bad"
"194";"2";"-5.01";"5.02";;"tc";"40";"";;"2";"no";"4";"";"";"half";"no";"none";"??"
"195";"1";"3.01";"5";;"tcf";"40";"none";"4";;"";"15";"average";"yes";"";"yes";"half";"good"
"196";"2";"2.96";;"4.6";"none";"41";"none";;"2";"";"16";"average";"";"full";"yes";"full";"good"
"197";"3";"-5";"4.99";;"";"37";"empl_contr";;"3";"";"11";"average";"";"half";"";"half";"good"
"198";;"3.01";"2.47";;"";"36";"";;;"no";"11";"below average";"no";"half";"";".5";"good"
