"profession";"duration";"wage1";"wage2";"wage3";"cola";"hours";"pension";"stby_pay";"shift_diff";"educ_allow";"holidays";"vacation";"lngtrm_disabil";"dntl_ins";"breavement";"Empl.hplan";"consent"
"199";"3";"1.98";"4.48";;"none";"37";"";;"4";"";"11";"below average";"";"half";"";"half";"good"
"200";"2";"2.01";"7";;"";"40";"none";"13";;"yes";"11";"generous";"yes";"";"";"";"good"
"201";"2";"2.98";;;"none";"38";"empl_contr";;"10";"";"12";"generous";"";"none";"yes";"full";"good"
"202";"3";"1.99";"2.01";;"";"41";"";"-12";;"";"9";"generous";"yes";"";"";"half";"bad"
"203";"2";"3";"3.98";;"";"39";"self payed";;;"yes";"10";"generous";"";"full";"";"";"??"
"204";"2";"2.98";"4";"-4.97";"tcf";"39";"empl_contr";;;"";"10";"generous";"";"full";"yes";"";"good"
"205";"2";"2.99";"25.03";"2.12";"";;"";"-1";"25";"";"11";"average";"";"none";"";"full";"good"
"206";"1";"2.02";;;"";"40";"empl_contr";;;"yes";"13";"generous";"";"half";"";"half";"good"
"207";"2";"4.31";"4.49";;"";"41";"";;"10";"";"12";"average";"";"half";"yes";"";"bad"
"208";;"4.01";"4.97";"2.02";"tcf";"38";"empl_contr";;"2";"no";"14";"average";"";"half";"yes";"";"bad"
"209";"2";"5.97";"4.04";;"";"40";"";"-12";"4";"yes";"10";"average";"no";"";"";"full";"??"
"210";"1";"4.96";"4.98";;"tcf";;"";;"3";"";"10";"";"";"";"";"full";"bad"
"211";"2";"2.53";;;"tcf";"38";"";;"2";"";"11";"average";"no";"full";"maybe";"full";"good"
"212";"2";"5.67";;;"none";"40";"";;"3";"";"14";"average";"";"half";"yes";"";"good"
"213";"2";"4.52";;"2.08";"";"37";"";;;"no";"16";"below average";"yes";"half";"";"half";"bad"
"214";"2";"5.01";"4.5";;"";"37";"";;"4";"";"9";"below average";"";"half";"";"half";"bad"
"215";"2";"3.52";"7.02";"4.97";"none";"36";"empl_contr";;;"no";"9";"average";"yes";"none";"yes";".5";"good"
"216";"1";"1.97";"3.98";"4.96";"";"39";"";;;"";"12";"";"no";"full";"yes";"full";"good"
"217";"3";"2.99";;;"none";"36";"empl_contr";;;"maybe";"11";"below average";"";"";"";".5";"bad"
"218";"1";"2.1";"4.47";;"tc";"34";"";;"10";"";"11";"below average";"";"half";"yes";"half";"good"
"219";"1";"3.01";"5.01";;"none";"35";"";"-1";;"";"10";"average";"";"half";"yes";"half";"good"
"220";"2";"4";"2.48";;"tc";"9";"empl_contr";;;"";"13";"generous";"no";"";"";"";"good"
"221";"3";"3.01";"1.98";;"tc";"34";"none";;;"yes";"9";"below average";"";"half";"";"half";"good"
"222";"3";"2";"4.02";"2.27";"tc";"37";"ret_allw";"-12";"3";"no";"11";"average";"yes";"";"yes";"full";"good"
"223";"1";"4.5";"2.52";;"";"10";"empl_contr";;;"yes";"10";"generous";"";"full";"yes";".5";"good"
"224";"2";"-4.97";"5.01";"5.01";"";"39";"none";;"3";"no";"16";"below average";"";"";"";"half";"good"
"225";"2";"2.1";"3.96";;"tcf";"41";"";"2";"3";"";"12";"average";"yes";"";"";"";"good"
"226";"1";"3.54";"4.4";;"";"37";"empl_contr";;"5";"";;"below average";"";"";"yes";"";"bad"
"227";"2";"2.99";"5.83";;"";"10";"empl_contr";"-12";;"no";"12";"average";"";"full";"maybe";"";"bad"
"228";"1";;"4.02";"2.03";"none";"37";"";;;"";"11";"generous";"";"full";"maybe";".5";"bad"
"229";"2";;"2.5";"2.53";"";;"";;;"";;"";"yes";"none";"yes";"full";"good"
"230";"1";"4.46";"4";;"tc";"40";"";;;"";"12";"below average";"";"none";"yes";"full";"bad"
"231";"2";"3.04";"5.03";;"";;"";"2";"4";"no";"10";"below average";"";"full";"yes";".5";"good"
"232";"1";"2.08";;;"";"35";"ret_allw";;;"";"11";"average";"";"half";"yes";"full";"good"
"233";"2";"2.07";"2.49";;"";"37";"self payed";"29";"25";"";"22";"generous";"yes";"half";"";"none";"bad"
"234";"3";"2.52";;;"";"37";"";"2";;"yes";"10";"average";"";"";"yes";"";"bad"
"235";"2";"4.51";"4.51";;"tcf";"37";"";;"25";"no";"11";"";"";"";"yes";"";"good"
"236";;"2.96";"3.99";;"";"63";"empl_contr";;"3";"";"10";"average";"yes";"full";"";"full";"bad"
"237";"2";"4.51";"3.99";;"";"37";"empl_contr";;;"yes";"10";"";"yes";"";"yes";"full";"good"
"238";"3";"3.49";"4.81";"1.99";"tc";"61";"";"2";"4";"no";"12";"average";"";"";"yes";"";"good"
"239";"1";"-4.5";;;"tcf";"38";"self payed";;"1";"";"10";"generous";"";"";"yes";"";"good"
"240";"2";"4.03";"2.5";"4.98";"none";"40";"";;"1";"no";"10";"generous";"";"none";"yes";"";"??"
"241";"3";"5.99";"5.03";;"tc";"37";"";;;"";"10";"average";"";"full";"yes";"";"good"
"242";"3";"2.78";"2.52";;"";"39";"";;"3";"";"11";"below average";"";"";"";"full";"good"
"243";"2";"5.99";"2.54";"4.98";"none";"39";"";"-1";;"";"11";"";"yes";"full";"yes";"none";"good"
"244";"3";"3.67";"4.52";;"";"40";"";;;"no";"15";"below average";"";"";"yes";"";"good"
"245";"3";"2.08";"5.8";"5.11";"none";"38";"none";"4";;"no";"10";"generous";"";"half";"";".5";"good"
"246";"3";"-6.43";"4.02";;"tcf";"61";"";;;"";"9";"below average";"";"half";"";"full";"??"
"247";"1";"-4.53";;;"tcf";"36";"";"-1";"10";"no";;"average";"";"half";"yes";"full";"good"
"248";"2";"3.69";;;"none";"36";"";;"3";"yes";"9";"";"";"";"";"half";"good"
"249";"3";"4.48";"4.51";;"";"38";"";"-1";"2";"";;"";"";"half";"";"";"good"
"250";"2";"2.83";"5.02";;"";;"";"29";"4";"";"11";"average";"yes";"";"";"half";"good"
"251";"1";"4.47";"2.47";;"";"27";"empl_contr";;"3";"";"12";"average";"";"";"yes";"none";"good"
"252";"2";"4.01";"3.98";"4.58";"";"28";"empl_contr";;;"no";;"below average";"";"full";"";"full";"bad"
"253";"2";"-6.4";;;"";"27";"";;"3";"";"9";"below average";"yes";"";"";"";"good"
"254";"2";"1.99";"5.02";;"none";"39";"";;"5";"";"11";"average";"";"full";"yes";"none";"good"
"255";"2";"3.49";;;"none";"37";"";;;"";"9";"below average";"yes";"full";"yes";".5";"??"
"256";"2";"-4.53";"2.97";"4.99";"";;"";;;"";"9";"generous";"yes";"full";"";"none";"good"
"257";"1";"4.52";"7";;"none";"39";"ret_allw";"-12";;"";"11";"below average";"";"full";"yes";"full";"bad"
"258";"2";"2.83";"4.47";"4.99";"tc";"39";"none";;"25";"";"8";"below average";"";"";"yes";"";"bad"
"259";"3";"4.97";"4.04";;"";"36";"";;"4";"";"14";"below average";"";"";"yes";"";"good"
"260";"3";"-4.54";;;"none";"40";"";;;"";"11";"average";"";"";"yes";"full";"good"
"261";"3";"6.92";;;"none";;"";"13";"4";"";"9";"average";"yes";"half";"";"half";"good"
"262";"3";"-4.5";"2.47";;"none";;"";;"10";"maybe";"5";"below average";"";"half";"";"full";"bad"
"263";"2";"4.52";"2.52";;"";"38";"none";;;"no";"14";"generous";"yes";"half";"";"half";"??"
"264";"2";"2.47";;;"";"39";"";;"3";"yes";"4";"generous";"";"half";"no";"full";"bad"
"265";"3";"5.72";;"2.3";"";"39";"none";;"5";"";"13";"average";"yes";"none";"yes";".5";"bad"
"266";"2";"2.01";"4";;"none";"37";"empl_contr";;"4";"";"11";"generous";"";"full";"";"none";"good"
"267";"2";"2.08";;;"none";"39";"none";;;"no";"11";"average";"yes";"";"yes";"";"good"
"268";"2";"1.97";"24.97";;"none";"39";"empl_contr";;;"";"5";"generous";"";"none";"no";"full";"bad"
"269";"2";;"2.04";;"";"35";"";;"4";"no";"5";"below average";"yes";"";"yes";"";"good"
"270";"1";"3.69";"2.47";;"";;"ret_allw";;"4";"no";"10";"generous";"";"half";"";"";"bad"
"271";"1";"1.99";"6.99";;"none";"11";"empl_contr";;"4";"";"12";"average";"";"";"yes";"full";"good"
"272";"2";;"2.46";"4.98";"";"35";"empl_contr";;;"";"9";"average";"yes";"half";"";"";"good"
"273";"2";"-4.49";"3";;"";"39";"none";;;"yes";"11";"generous";"";"";"yes";"";"bad"
"274";"2";"3.53";"2.51";;"none";"36";"empl_contr";;"3";"no";"13";"below average";"no";"half";"";"full";"good"
"275";"1";"4.52";"3.98";;"";"35";"ret_allw";"29";"0";"";"14";"average";"";"";"";"none";"good"
"276";"2";"2.02";;"2.08";"tc";"61";"";;"2";"";"12";"below average";"no";"full";"";"full";"good"
"277";"2";"5.98";"4.53";;"none";"41";"";;;"yes";"15";"generous";"no";"full";"yes";"half";"good"
"278";"2";"5.67";"4.51";;"none";"40";"";;"2";"yes";"9";"below average";"";"half";"yes";"half";"good"
"279";"2";"-5.03";"4.02";;"none";"39";"self payed";;;"";;"average";"";"";"";"full";"good"
"280";"2";"2.07";"4.01";;"none";"41";"ret_allw";;"6";"no";"11";"generous";"";"none";"";".5";"good"
"281";"2";"-6.42";"6.41";;"tc";"38";"";"-1";"3";"";"20";"generous";"";"half";"";"";"good"
"282";"2";"2.78";"2.97";;"none";"40";"";"2";"4";"yes";"11";"average";"";"half";"yes";"none";"good"
"283";"3";"-6.38";"5";;"tc";"40";"";;"5";"no";"3";"average";"";"";"";"";"bad"
"284";"3";"4.51";"2.52";;"none";"41";"";;;"";"10";"below average";"yes";"none";"";"";"good"
"285";"3";;"3.97";;"";"28";"";"2";;"";"12";"generous";"yes";"";"yes";"";"good"
"286";"2";"2.01";;"-5.02";"tc";"34";"";"-1";;"";"11";"below average";"yes";"full";"";"";"good"
"287";"3";"5";"3.98";"1.99";"tcf";"37";"ret_allw";;"25";"";"9";"average";"";"";"no";"";"good"
"288";"2";"6.91";;;"tc";"38";"";"2";;"yes";"11";"";"";"full";"yes";"";"??"
"289";"1";"2.13";"5.81";;"";"39";"";;"3";"no";"10";"below average";"";"half";"yes";".5";"good"
"290";"2";"2.83";"1.98";;"tcf";"37";"ret_allw";;;"";"8";"average";"yes";"half";"";"";"good"
"291";"2";"2";;"4.98";"";"36";"ret_allw";;"5";"yes";"12";"average";"yes";"";"maybe";"";"good"
"292";"1";"3.03";"3.97";;"";"27";"none";;"3";"";"15";"average";"";"full";"yes";"";"??"
"293";"2";"2.02";"1.98";"2.26";"tc";"39";"";;;"";"8";"generous";"";"";"yes";".5";"good"
"294";"3";"4.54";"6.4";;"none";"40";"";"2";"3";"no";;"generous";"";"full";"";"";"good"
"295";"1";"4.29";"4.03";"-5.02";"";"37";"self payed";;"0";"";;"average";"";"";"";"none";"good"
"296";"3";"2.97";"6.41";;"none";"35";"";"-1";"4";"yes";"4";"below average";"";"";"yes";"";"good"
"297";"2";"3.03";;;"tc";"39";"";"29";"5";"";"11";"generous";"no";"none";"";"";"good"
"298";"3";"5.98";"4.98";;"";;"";;;"";"10";"";"";"";"";"half";"good"
"299";"2";"-4.47";"5.03";;"none";"28";"";;;"";"11";"generous";"";"none";"";"";"??"
"300";"3";"2.01";"5.01";;"none";"38";"";;;"";"12";"below average";"yes";"full";"yes";"half";"bad"
"301";"1";"4.52";;"2.27";"none";"40";"empl_contr";;"5";"";"10";"below average";"";"";"yes";"none";"good"
"302";;;;;"none";"39";"empl_contr";;;"";"5";"below average";"";"none";"yes";"full";"bad"
"303";"2";"4.54";"4.48";;"tc";"37";"";;;"no";"4";"below average";"";"full";"yes";"half";"good"
"304";"3";"4.51";"3.98";;"none";"38";"";;"3";"no";"11";"below average";"no";"";"";"";"good"
"305";"2";"-4.97";"2.02";;"none";;"empl_contr";;;"no";"13";"below average";"";"none";"yes";"";"bad"
"306";"2";"6.9";"4.51";;"";"40";"none";;;"no";"12";"generous";"yes";"full";"yes";"full";"good"
"307";"2";"3.52";;;"none";"37";"none";"-12";;"maybe";"11";"generous";"";"full";"yes";"";"good"
"308";"2";"2.99";"3.03";;"";"38";"empl_contr";;"6";"";"10";"average";"yes";"";"";"full";"good"
"309";"2";"4.34";;;"none";"38";"none";;;"";"20";"below average";"yes";"full";"";"";"bad"
"310";"2";"3.99";;;"tc";"35";"empl_contr";;"4";"";"10";"generous";"no";"";"";"";"bad"
"311";"2";"-4.49";"4.49";;"none";"38";"";;"4";"";"13";"below average";"";"half";"yes";"half";"bad"
"312";"1";"3";"5.8";;"none";"38";"";;"4";"";"11";"below average";"";"";"yes";"";"good"
"313";"2";"3";"7.03";"2.12";"none";"11";"none";"2";"5";"yes";"8";"generous";"yes";"";"";"half";"bad"
"314";"1";"-4.52";"4.98";;"";"38";"";"13";"3";"maybe";"12";"below average";"";"";"yes";"full";"good"
"315";"1";"2";"2.02";"2.3";"";"34";"";;"3";"";"9";"below average";"";"";"";"full";"good"
"316";"3";"3.71";"4.97";;"none";"36";"";;"5";"no";"11";"average";"";"full";"";"none";"good"
"317";"1";"3.51";"5.82";"5.02";"";"9";"";;;"";"11";"below average";"";"none";"no";".5";"good"
"318";"3";"1.98";"2.03";;"";"38";"none";"2";"3";"";"11";"below average";"";"half";"";"";"good"
"319";"3";"2.48";;;"tcf";"38";"";;"1";"no";"10";"average";"";"none";"";"full";"good"
"320";"1";"2.76";"4.48";"2.47";"none";;"";"-1";"5";"";"12";"generous";"";"half";"yes";"";"good"
"321";"3";"3.68";"2.53";;"";"40";"none";"-1";"3";"";"12";"below average";"";"none";"";"half";"bad"
"322";"3";"3";"5.02";"2.08";"tcf";"10";"self payed";"29";"10";"no";;"below average";"";"half";"";"full";"good"
"323";"2";"4.49";"3.99";;"tcf";"37";"";"2";;"maybe";"10";"generous";"";"none";"";"";"bad"
"324";"2";"2.97";"4.49";;"none";"37";"";"2";"4";"";"11";"generous";"";"";"";".5";"bad"
"325";"2";"3.52";;;"";"36";"";;"3";"maybe";"11";"average";"no";"full";"yes";"full";"good"
"326";"2";"6.91";;;"none";"40";"ret_allw";;;"";"10";"generous";"";"full";"yes";"full";"good"
"327";"2";"-4.51";"4.77";;"none";"39";"empl_contr";;"5";"";"12";"below average";"";"";"yes";"none";"good"
"328";"3";"2.01";;;"tcf";"40";"";;"3";"maybe";"11";"average";"";"full";"yes";"";"??"
"329";"3";"5.99";"3.98";;"";"39";"empl_contr";;;"yes";"10";"below average";"";"";"yes";"half";"bad"
"330";"3";"4.03";"6.43";;"none";"39";"empl_contr";;"6";"";"11";"below average";"";"half";"yes";"full";"good"
"331";"3";"2.79";"2.48";;"tc";"38";"";;"2";"yes";"12";"generous";"yes";"";"";"";"bad"
"332";"2";"2";"25.02";"4.58";"none";"41";"";;"4";"no";"10";"average";"yes";"none";"yes";"";"good"
"333";"1";;;;"";"11";"ret_allw";;"10";"yes";"14";"below average";"";"";"";"none";"good"
"334";"3";"4.49";;;"none";"40";"empl_contr";;;"";"11";"below average";"";"half";"";"full";"good"
"335";"2";"2.02";"4.39";;"";"39";"";;"6";"";"10";"below average";"";"";"yes";"full";"bad"
"336";"3";"5";"37.03";"-4.97";"tc";"36";"ret_allw";;;"no";"9";"average";"no";"full";"";"none";"good"
"337";"1";"2.01";"36.99";;"";"39";"self payed";;"5";"no";"11";"generous";"yes";"";"yes";"full";"good"
"338";"2";"1.97";"3.96";;"tc";;"";;;"no";"9";"generous";"";"";"yes";"half";"good"
"339";"3";"2.09";;;"";;"self payed";;"3";"no";"10";"average";"yes";"half";"";"";"bad"
"340";"2";"-4.47";"25.01";;"";"38";"empl_contr";"-12";"6";"no";"9";"average";"";"half";"";"";"good"
"341";"3";"2.77";"2.53";;"";"37";"self payed";"4";"2";"maybe";"13";"below average";"";"none";"";"half";"good"
"342";"1";;"4.43";;"none";"36";"empl_contr";;"2";"no";"10";"generous";"";"half";"yes";"";"good"
"343";"3";"1.97";"4.98";;"";"39";"empl_contr";;;"";"9";"average";"no";"half";"";"none";"good"
"344";"2";"-4.51";"3.98";"1.99";"tcf";"35";"";;"10";"yes";"11";"average";"";"half";"yes";"";"good"
"345";"1";"2.03";;;"tc";"35";"ret_allw";;"3";"yes";"10";"average";"";"full";"no";"";"bad"
"346";"3";"5.73";;"2.49";"";"35";"";;"4";"";"12";"average";"yes";"full";"";"";"good"
"347";"2";"2.49";"5.01";;"";"41";"";"2";"4";"yes";"9";"below average";"no";"none";"yes";"";"??"
"348";"3";"-4.5";"2.98";"5.03";"none";"38";"empl_contr";;"2";"";"9";"generous";"yes";"";"";"none";"good"
"349";"2";"-4.48";"3.99";;"";"36";"";;;"no";"10";"generous";"";"none";"";"half";"good"
"350";"2";"4.53";"1.96";;"";"41";"none";;;"";"11";"generous";"";"";"yes";"half";"good"
"351";"3";"6.9";"3.99";;"";"39";"";;;"no";"10";"below average";"";"";"";"full";"bad"
"49";"3";;;;"none";"37";"";;;"maybe";"4";"below average";"";"";"yes";"";"good"
"353";"2";"4.49";"2.98";"5";"tc";"40";"self payed";;"3";"";"11";"average";"yes";"";"";"none";"bad"
"354";"2";"1.98";"2.53";"-5.02";"tc";"40";"empl_contr";;"3";"";"13";"below average";"";"half";"";"";"good"
"355";"2";"2.83";"4.02";;"";"36";"none";;"5";"";"10";"below average";"";"";"";"half";"bad"
"356";"2";"3.69";"4.48";;"none";"36";"";"-12";"4";"no";"10";"";"yes";"";"yes";"";"good"
"357";"3";"3.53";;;"none";"36";"empl_contr";"-12";"0";"";"15";"average";"";"full";"yes";"half";"??"
"358";;"2.84";"37.04";;"";"38";"none";;"25";"yes";"9";"average";"no";"";"yes";"half";"bad"
"359";"2";"2.78";"3.97";;"";"35";"ret_allw";"4";"5";"no";"11";"average";"";"half";"";"";"good"
"360";"3";;"1.99";;"";"35";"empl_contr";"2";;"";"10";"average";"";"";"maybe";"full";"good"
"361";"3";"4.48";"37.02";"2.29";"";"38";"empl_contr";;"3";"yes";"12";"average";"";"";"yes";"";"good"
"362";"2";"3.49";"3.99";"5.02";"none";"38";"none";;;"";"12";"average";"";"full";"maybe";"half";"bad"
"363";"1";"5.71";;;"tcf";"35";"none";;;"";"11";"below average";"yes";"";"yes";"half";"bad"
"364";"1";"3.98";"4.03";;"";"35";"";;;"maybe";"11";"below average";"";"half";"";".5";"good"
"365";"1";"6";"6.39";;"tc";"27";"";;"2";"";"12";"average";"";"full";"";"half";"good"
"366";"3";"3.54";;"5.06";"tc";"36";"";;"2";"no";;"average";"";"none";"";"full";"bad"
"367";"2";"5.04";"3.98";"1.97";"tc";"38";"ret_allw";"29";;"";"5";"average";"no";"full";"yes";"none";"??"
"368";"3";"3.5";"37";;"none";;"none";;;"";"11";"average";"";"";"";"none";"good"
"369";"3";"3.48";"4.42";;"";"37";"self payed";"2";"6";"yes";"10";"generous";"";"";"yes";".5";"good"
"370";"2";"2.49";"25.04";;"";"40";"empl_contr";;;"maybe";"5";"average";"yes";"half";"";"";"good"
"371";"2";"3.48";"5.78";;"none";"37";"";;"4";"";"10";"generous";"yes";"";"yes";"";"good"
"372";"2";"-4.53";;;"";"41";"empl_contr";;"4";"";"11";"below average";"";"";"yes";"half";"bad"
"373";"2";"4.51";;"5.04";"none";"35";"";"29";;"";"12";"below average";"";"";"";"";"good"
"374";"1";"1.99";"37.02";"2.27";"none";"62";"none";;"4";"yes";"12";"average";"";"full";"yes";".5";"bad"
"375";"2";"1.99";;;"";"40";"empl_contr";;"3";"yes";"12";"below average";"yes";"half";"";".5";"good"
"376";"2";"2";"4.04";;"";"39";"";"2";"4";"no";"11";"average";"yes";"";"";"";"good"
"377";"2";"3.52";"3.04";"2";"tc";"37";"self payed";;;"maybe";"10";"";"";"";"";"full";"good"
"378";"3";"2";"3.97";;"";"38";"empl_contr";;"3";"";"14";"generous";"yes";"none";"yes";"full";"??"
"379";"2";"2.83";;;"none";"35";"none";;"3";"";"12";"generous";"yes";"full";"yes";"";"good"
"380";"2";"4.51";"4.53";;"tcf";"35";"self payed";;"3";"";"4";"below average";"yes";"half";"";"full";"bad"
"381";"3";"2.03";"7.03";;"none";"40";"";;;"";"22";"generous";"no";"none";"yes";"";"bad"
"382";"2";"3.04";"5";"2.13";"none";;"none";;"5";"";"11";"average";"";"";"yes";"full";"bad"
"383";"2";"2.99";"4.03";;"none";"41";"ret_allw";"2";"3";"yes";"11";"average";"no";"";"yes";"";"good"
"384";"1";"4.46";"5.78";;"";"37";"none";;;"yes";"10";"generous";"";"half";"yes";"half";"good"
"385";"2";"2.01";;;"tc";"35";"none";;;"no";"5";"average";"";"full";"";"full";"??"
"386";;"3.01";"4.98";"4.62";"";"38";"empl_contr";;;"";"11";"below average";"yes";"none";"yes";"none";"good"
"387";"3";"2.04";"5.81";"2.1";"tc";"38";"";;;"no";"10";"";"";"none";"maybe";"";"bad"
"388";"2";;"4";;"";"37";"empl_contr";;"4";"";"9";"below average";"";"";"no";"full";"bad"
"389";"3";"5.98";;;"";"39";"";"29";;"yes";"9";"average";"no";"";"";"";"good"
"390";"2";"-4.52";;;"";"40";"";;;"maybe";;"generous";"";"half";"";".5";"bad"
"391";"1";"-4.48";"3.99";;"";"37";"";;"25";"no";;"generous";"no";"none";"";"";"bad"
"392";"3";"3.02";"4.02";;"";"38";"";;"5";"yes";;"generous";"";"";"yes";"full";"bad"
"393";"2";"-4.98";"3.04";;"tc";"37";"";"-12";;"maybe";"10";"below average";"yes";"half";"";"full";"good"
"394";"1";"2.02";"3.98";;"none";"62";"self payed";;"3";"";"11";"generous";"yes";"";"";"";"bad"
"395";"1";"6.92";"4.98";;"";"37";"none";;"6";"";"11";"average";"";"full";"";"full";"good"
"396";"2";"5.68";"3.99";;"";"37";"";;;"no";"11";"generous";"";"";"";"full";"bad"
"397";"2";"-4.49";"2.03";;"";"36";"";;"5";"";"9";"average";"yes";"";"";"";"good"
"398";"2";"3.52";;"4.57";"";"40";"";"2";;"yes";"14";"generous";"yes";"none";"";"none";"??"
"399";"2";"2.54";"4.02";;"tc";"40";"empl_contr";"-1";"3";"yes";"11";"average";"yes";"";"yes";"";"good"
"400";"1";;"3.98";;"";"39";"";;"3";"no";"8";"average";"";"full";"yes";"";"bad"
